raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
1026,2019,17,Japanese Grand Prix,2019-10-13,05:10:00,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45.0
1027,2019,18,Mexican Grand Prix,2019-10-27,19:10:00,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227.0
1028,2019,19,United States Grand Prix,2019-11-03,19:10:00,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161.0
1029,2019,20,Brazilian Grand Prix,2019-11-17,17:10:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
1030,2019,21,Abu Dhabi Grand Prix,2019-12-01,13:10:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
1031,2020,1,Austrian Grand Prix,2020-07-05,13:10:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1032,2020,2,Styrian Grand Prix,2020-07-12,13:10:00,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678.0
1033,2020,3,Hungarian Grand Prix,2020-07-19,13:10:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
1034,2020,4,British Grand Prix,2020-08-02,13:10:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
1035,2020,5,70th Anniversary Grand Prix,2020-08-09,13:10:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
1036,2020,6,Spanish Grand Prix,2020-08-16,13:10:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
1037,2020,7,Belgian Grand Prix,2020-08-30,13:10:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
1038,2020,8,Italian Grand Prix,2020-09-06,13:10:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
1039,2020,9,Tuscan Grand Prix,2020-09-13,13:10:00,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255.0
1040,2020,10,Russian Grand Prix,2020-09-27,11:10:00,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2.0
1041,2020,11,Eifel Grand Prix,2020-10-11,13:10:00,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0
1042,2020,12,Portuguese Grand Prix,2020-10-25,12:10:00,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108.0
1043,2020,13,Emilia Romagna Grand Prix,2020-11-01,12:10:00,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37.0
1044,2020,14,Turkish Grand Prix,2020-11-15,10:10:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
1045,2020,15,Bahrain Grand Prix,2020-11-29,14:10:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
1046,2020,16,Sakhir Grand Prix,2020-12-06,17:10:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
1047,2020,17,Abu Dhabi Grand Prix,2020-12-13,13:10:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
1053,2021,2,Emilia Romagna Grand Prix,2021-04-18,13:00:00,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37.0
1074,2022,1,Bahrain Grand Prix,2022-03-20,15:00:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
1052,2021,1,Bahrain Grand Prix,2021-03-28,15:00:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
1051,2021,20,Qatar Grand Prix,2021-11-21,14:00:00,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,13.0
1054,2021,3,Portuguese Grand Prix,2021-05-02,14:00:00,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108.0
1055,2021,4,Spanish Grand Prix,2021-05-09,13:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
